,label,pred,score
0,0,0,0.992861807346344
1,0,1,0.9111568927764893
2,0,0,0.9918978214263916
3,0,1,0.9317587018013
4,0,1,0.9842532277107239
5,0,0,0.971625030040741
6,1,0,0.8975022435188293
7,0,0,0.9940366744995117
8,1,1,0.9851112961769104
9,1,0,0.9864630103111267
10,1,1,0.9306907653808594
11,0,0,0.7498008012771606
12,0,0,0.9965531826019287
13,1,1,0.9950212240219116
14,1,1,0.978289783000946
15,1,1,0.9959255456924438
16,1,0,0.997238278388977
17,1,1,0.9953456521034241
18,0,0,0.9901546239852905
19,1,1,0.9955606460571289
