,label,pred,score
0,0,0,0.5441235899925232
1,0,1,0.6733920574188232
2,1,0,0.5441235899925232
3,0,1,0.7102136015892029
4,1,1,0.637446403503418
5,0,1,0.6760237812995911
6,1,1,0.6749377250671387
7,0,1,0.6783710718154907
8,1,1,0.6309943795204163
9,0,0,0.5441235899925232
10,1,1,0.7102136015892029
11,1,0,0.5441235899925232
12,0,0,0.5441235899925232
13,0,0,0.5441235899925232
14,0,0,0.5441235899925232
15,1,0,0.5441235899925232
16,1,0,0.5441235899925232
17,1,0,0.5441235899925232
18,1,0,0.5441235899925232
19,1,0,0.5441235899925232
20,1,0,0.5441235899925232
21,0,0,0.5441235899925232
22,0,0,0.5441235899925232
23,0,1,0.6749377250671387
24,1,0,0.5441235899925232
25,1,0,0.5441235899925232
26,0,0,0.5441235899925232
27,1,1,0.6749377250671387
28,1,0,0.5441235899925232
29,0,0,0.5441235899925232
30,0,1,0.6381546258926392
31,0,0,0.5441235899925232
