,label,pred,score
0,1,1,0.9895521998405457
1,0,0,0.999701201915741
2,0,0,0.9298754334449768
3,1,1,0.9909152388572693
4,0,0,0.9997207522392273
5,1,1,0.9993182420730591
6,0,0,0.9997209906578064
7,0,0,0.9995998740196228
8,1,1,0.9993077516555786
9,0,0,0.9998286962509155
10,0,1,0.9772030711174011
11,1,1,0.9869120121002197
12,1,1,0.999749481678009
13,0,0,0.9992392063140869
14,1,1,0.9990737438201904
15,1,1,0.9997188448905945
16,0,1,0.9982722997665405
17,1,1,0.9502514600753784
18,0,0,0.9993835687637329
19,1,1,0.9996320009231567
20,0,0,0.8472021818161011
21,0,0,0.9991818070411682
22,0,0,0.9988794922828674
23,0,0,0.5941254496574402
24,0,0,0.9996345043182373
25,0,1,0.5162599682807922
26,1,1,0.9995145797729492
27,1,1,0.9985093474388123
28,0,0,0.9997420907020569
29,0,1,0.7627381682395935
30,1,1,0.997810423374176
31,0,0,0.9997338652610779
32,0,0,0.999261200428009
33,1,1,0.9996786117553711
34,1,1,0.9996939897537231
35,1,1,0.9993990659713745
36,1,1,0.9994296431541443
37,0,0,0.9970604777336121
38,1,1,0.9988678693771362
39,1,1,0.9695247411727905
40,0,0,0.9997468590736389
41,0,0,0.9990131855010986
42,1,1,0.9995296001434326
43,1,1,0.999771773815155
44,1,1,0.891944408416748
45,1,1,0.9970493316650391
46,0,0,0.9884119629859924
47,0,0,0.9990529417991638
48,1,1,0.999631404876709
49,1,1,0.9973871111869812
50,0,0,0.999714195728302
51,0,0,0.976842999458313
52,0,0,0.9997856020927429
53,0,1,0.9968137145042419
54,0,0,0.9997610449790955
55,1,1,0.9996747970581055
56,1,1,0.9997212290763855
57,1,1,0.9993952512741089
58,1,1,0.9997032284736633
59,1,1,0.9996979236602783
60,1,0,0.9990624785423279
61,0,1,0.9968311190605164
