,label,pred,score
0,0,0,0.9995900988578796
1,0,0,0.9995332956314087
2,1,1,0.9993143081665039
3,0,0,0.9986028075218201
4,0,0,0.9994837045669556
5,0,0,0.9963452219963074
6,1,1,0.9993164539337158
7,0,1,0.8843586444854736
8,1,1,0.9871388077735901
9,0,0,0.9955518841743469
10,0,0,0.9995125532150269
11,1,0,0.9974853992462158
12,0,0,0.9655365943908691
13,1,0,0.9912645816802979
14,0,0,0.9992190599441528
15,0,0,0.9975925087928772
16,0,0,0.9990600943565369
17,0,0,0.9754096865653992
18,0,0,0.9992832541465759
19,1,1,0.6316503882408142
20,1,0,0.8932490348815918
21,1,1,0.9976086616516113
22,1,1,0.9990189075469971
23,0,0,0.9993576407432556
24,0,1,0.9989708662033081
25,1,1,0.9989020824432373
26,0,0,0.9992098808288574
27,1,1,0.9869094491004944
28,1,0,0.79422926902771
29,0,0,0.997443437576294
30,1,1,0.9987449645996094
31,1,1,0.9992254972457886
32,0,0,0.9804460406303406
33,0,0,0.9994519352912903
34,0,0,0.9973610043525696
35,0,1,0.9991921782493591
36,0,0,0.9982790946960449
37,1,1,0.9961464405059814
38,0,0,0.8267703056335449
39,1,1,0.5939253568649292
40,1,1,0.9976429343223572
41,1,0,0.9578062295913696
42,0,0,0.9989492297172546
43,1,1,0.9856357574462891
44,1,1,0.775091826915741
45,1,1,0.9974494576454163
46,0,0,0.9993250370025635
47,0,0,0.9995505213737488
48,0,0,0.999559223651886
49,0,1,0.9995250701904297
50,0,0,0.7089137434959412
51,1,0,0.9982183575630188
52,1,1,0.9990383386611938
53,0,1,0.9529438018798828
54,1,1,0.9968754053115845
55,1,0,0.5748358368873596
56,0,0,0.9942799806594849
57,1,0,0.9272885322570801
58,1,1,0.9990702271461487
59,1,1,0.9983550906181335
60,0,0,0.9978206157684326
61,1,1,0.9409235119819641
62,0,1,0.7028293013572693
63,1,1,0.9987548589706421
64,0,0,0.9993288516998291
65,1,1,0.9989030361175537
66,1,1,0.9990538954734802
67,1,1,0.9390798807144165
68,1,1,0.9995222091674805
69,0,0,0.8902695178985596
70,0,0,0.99368816614151
71,1,1,0.994371235370636
72,1,1,0.9269629716873169
73,1,1,0.9901801347732544
74,0,1,0.9981821775436401
75,1,1,0.9988860487937927
76,1,1,0.9895234704017639
77,0,1,0.5380840301513672
