,label,pred,score
0,0,0,0.9935734868049622
1,1,1,0.9877324104309082
2,1,1,0.9917842149734497
3,0,0,0.9887829422950745
4,0,0,0.9815915822982788
5,1,1,0.9936853051185608
6,1,0,0.9670655727386475
7,0,1,0.5208501219749451
8,1,1,0.9870058298110962
9,0,1,0.9319257736206055
10,0,0,0.9758491516113281
11,0,0,0.9772883057594299
12,1,1,0.9857524037361145
13,1,0,0.8285436034202576
14,0,1,0.8968190550804138
15,1,0,0.9921247363090515
16,1,1,0.9940828680992126
17,0,1,0.7528154253959656
18,0,0,0.9699876308441162
19,1,1,0.9249476194381714
