,label,pred,score
0,0,1,0.7632785439491272
1,1,1,0.7470643520355225
2,0,1,0.7470643520355225
3,0,1,0.7716698050498962
4,0,0,0.5015310049057007
5,0,0,0.5078529715538025
6,1,1,0.8280647397041321
7,1,1,0.7470643520355225
8,0,0,0.7324132919311523
9,0,1,0.5674648284912109
10,1,1,0.534191370010376
11,1,0,0.7391141057014465
12,1,0,0.6578962206840515
13,1,0,0.5637702345848083
14,0,0,0.657896101474762
15,1,0,0.8329236507415771
16,0,1,0.5824455618858337
17,1,0,0.6294876337051392
18,1,1,0.5828401446342468
19,1,0,0.5433310270309448
20,0,1,0.7111635208129883
21,0,0,0.7353292107582092
22,1,1,0.5965898633003235
23,0,0,0.8137381076812744
24,1,1,0.5828401446342468
25,0,0,0.8112079501152039
26,0,0,0.6348569989204407
27,1,1,0.8238375186920166
28,1,0,0.7309942245483398
29,0,0,0.5910720229148865
30,1,0,0.7868909239768982
31,0,0,0.5247470140457153
