,label,pred,score
0,1,0,0.7696623206138611
1,1,0,0.9943616390228271
2,1,0,0.9932584762573242
3,1,0,0.9855101108551025
4,1,0,0.9945646524429321
5,0,0,0.6352762579917908
6,0,0,0.9936285614967346
7,0,0,0.9921066761016846
8,1,0,0.7805761694908142
9,0,0,0.8290168046951294
10,0,0,0.9942809343338013
11,1,0,0.7663736343383789
12,1,0,0.9917438626289368
13,0,0,0.9735655784606934
14,0,0,0.8404795527458191
15,1,0,0.9863570928573608
16,0,0,0.9943262934684753
17,1,1,0.5508310198783875
18,1,0,0.9776191711425781
19,1,1,0.7984537482261658
20,0,0,0.9247710108757019
21,0,0,0.9647982120513916
22,1,0,0.9941743016242981
23,0,0,0.9772555232048035
24,0,0,0.9939852356910706
25,1,0,0.5948385000228882
26,1,0,0.9931861162185669
27,0,0,0.7781368494033813
28,0,0,0.9940198659896851
29,0,0,0.7564572095870972
30,0,0,0.751764178276062
31,1,0,0.761532187461853
