,label,pred,score
0,1,0,0.6535053849220276
1,1,0,0.6546921133995056
2,0,0,0.6535053849220276
3,1,0,0.6535053849220276
4,1,1,0.8092462420463562
5,1,0,0.6535053849220276
6,1,0,0.6546921133995056
7,0,1,0.8554551601409912
8,1,0,0.6535053849220276
9,0,1,0.8022410869598389
10,0,0,0.6535053849220276
11,0,1,0.813323974609375
12,1,0,0.6535053849220276
13,0,0,0.6535040140151978
14,1,1,0.8650336861610413
15,1,1,0.813323974609375
16,0,1,0.7341547608375549
17,1,1,0.7965013384819031
18,0,1,0.8170406818389893
19,1,0,0.6535054445266724
20,0,0,0.6535053849220276
21,0,0,0.6535053849220276
22,1,0,0.6535053849220276
23,0,0,0.6535053849220276
24,1,1,0.7965013384819031
25,0,0,0.6531434059143066
26,0,0,0.6535053849220276
27,0,0,0.6535053849220276
28,1,0,0.6535053849220276
29,0,1,0.7965013384819031
30,1,0,0.6535053849220276
31,0,0,0.6535053849220276
