,encoder,data,enhance_type,enhance_llm,metrics,stat,p
0,jina,EBT,none,none,accuracy,1.0,0.125
1,jina,EBT,none,none,precision,5.0,0.3125
2,jina,EBT,none,none,recall,2.5,0.15625
3,jina,EBT,none,none,f1,2.0,0.09375
4,jina,EBT,none,none,f2,2.0,0.09375
30,jina,EBT,req,Claude3,accuracy,1.5,0.09375
31,jina,EBT,req,Claude3,precision,4.0,0.21875
32,jina,EBT,req,Claude3,recall,0.0,0.0625
33,jina,EBT,req,Claude3,f1,1.0,0.0625
34,jina,EBT,req,Claude3,f2,0.0,0.03125
35,jina,EBT,req,Gemini,accuracy,0.0,0.0625
36,jina,EBT,req,Gemini,precision,0.0,0.03125
37,jina,EBT,req,Gemini,recall,1.0,0.125
38,jina,EBT,req,Gemini,f1,1.0,0.0625
39,jina,EBT,req,Gemini,f2,2.0,0.09375
40,jina,EBT,req,GPT3.5,accuracy,0.0,0.03125
41,jina,EBT,req,GPT3.5,precision,0.0,0.03125
42,jina,EBT,req,GPT3.5,recall,0.0,0.0625
43,jina,EBT,req,GPT3.5,f1,0.0,0.03125
44,jina,EBT,req,GPT3.5,f2,0.0,0.03125
45,jina,EBT,req,GPT-4o,accuracy,1.5,0.09375
46,jina,EBT,req,GPT-4o,precision,3.0,0.15625
47,jina,EBT,req,GPT-4o,recall,0.0,0.25
48,jina,EBT,req,GPT-4o,f1,2.0,0.09375
49,jina,EBT,req,GPT-4o,f2,1.0,0.0625
55,jina,EBT,code,Claude3,accuracy,2.0,0.1875
56,jina,EBT,code,Claude3,precision,2.0,0.09375
57,jina,EBT,code,Claude3,recall,5.0,0.6875
58,jina,EBT,code,Claude3,f1,4.0,0.1875
59,jina,EBT,code,Claude3,f2,6.0,0.40625
60,jina,EBT,code,Gemini,accuracy,6.0,0.6875
61,jina,EBT,code,Gemini,precision,10.0,0.78125
62,jina,EBT,code,Gemini,recall,2.5,0.5
63,jina,EBT,code,Gemini,f1,8.5,0.625
64,jina,EBT,code,Gemini,f2,7.0,0.5
65,jina,EBT,code,GPT3.5,accuracy,0.0,0.03125
66,jina,EBT,code,GPT3.5,precision,0.0,0.03125
67,jina,EBT,code,GPT3.5,recall,0.0,0.125
68,jina,EBT,code,GPT3.5,f1,0.0,0.03125
69,jina,EBT,code,GPT3.5,f2,0.0,0.03125
70,jina,EBT,code,GPT-4o,accuracy,2.0,0.25
71,jina,EBT,code,GPT-4o,precision,2.5,0.25
72,jina,EBT,code,GPT-4o,recall,0.0,0.5
73,jina,EBT,code,GPT-4o,f1,1.5,0.1875
74,jina,EBT,code,GPT-4o,f2,1.5,0.1875
80,jina,EBT,req(example),Claude3,accuracy,1.0,0.125
81,jina,EBT,req(example),Claude3,precision,6.0,0.40625
82,jina,EBT,req(example),Claude3,recall,0.0,0.0625
83,jina,EBT,req(example),Claude3,f1,1.0,0.0625
84,jina,EBT,req(example),Claude3,f2,1.0,0.0625
85,jina,EBT,req(example),Gemini,accuracy,4.0,0.5
86,jina,EBT,req(example),Gemini,precision,4.0,0.4375
87,jina,EBT,req(example),Gemini,recall,0.0,0.125
88,jina,EBT,req(example),Gemini,f1,2.0,0.1875
89,jina,EBT,req(example),Gemini,f2,0.0,0.0625
90,jina,EBT,req(example),GPT3.5,accuracy,0.0,0.03125
91,jina,EBT,req(example),GPT3.5,precision,3.0,0.15625
92,jina,EBT,req(example),GPT3.5,recall,0.0,0.03125
93,jina,EBT,req(example),GPT3.5,f1,0.0,0.03125
94,jina,EBT,req(example),GPT3.5,f2,0.0,0.03125
95,jina,EBT,req(example),GPT-4o,accuracy,1.0,0.0625
96,jina,EBT,req(example),GPT-4o,precision,3.0,0.15625
97,jina,EBT,req(example),GPT-4o,recall,1.0,0.25
98,jina,EBT,req(example),GPT-4o,f1,1.5,0.09375
99,jina,EBT,req(example),GPT-4o,f2,3.0,0.15625
105,jina,EBT,code(example),Claude3,accuracy,7.0,0.5
106,jina,EBT,code(example),Claude3,precision,3.0,0.15625
107,jina,EBT,code(example),Claude3,recall,4.0,0.5
108,jina,EBT,code(example),Claude3,f1,7.0,0.5
109,jina,EBT,code(example),Claude3,f2,7.0,0.5
110,jina,EBT,code(example),Gemini,accuracy,1.0,0.0625
111,jina,EBT,code(example),Gemini,precision,5.0,0.3125
112,jina,EBT,code(example),Gemini,recall,0.0,0.03125
113,jina,EBT,code(example),Gemini,f1,0.0,0.0625
114,jina,EBT,code(example),Gemini,f2,0.0,0.03125
115,jina,EBT,code(example),GPT3.5,accuracy,0.0,0.0625
116,jina,EBT,code(example),GPT3.5,precision,1.0,0.0625
117,jina,EBT,code(example),GPT3.5,recall,0.0,0.0625
118,jina,EBT,code(example),GPT3.5,f1,0.0,0.03125
119,jina,EBT,code(example),GPT3.5,f2,0.0,0.03125
