,encoder,data,enhance_type,enhance_llm,metrics,stat,p
0,jina,EBT,none,none,accuracy,8.5,0.9375
1,jina,EBT,none,none,precision,8.0,0.875
2,jina,EBT,none,none,recall,1.0,1.0
3,jina,EBT,none,none,f1,9.0,0.9375
4,jina,EBT,none,none,f2,9.0,0.9375
30,jina,EBT,req,Claude3,accuracy,0.0,0.125
31,jina,EBT,req,Claude3,precision,0.0,0.125
32,jina,EBT,req,Claude3,recall,0.0,0.5
33,jina,EBT,req,Claude3,f1,0.0,0.125
34,jina,EBT,req,Claude3,f2,0.0,0.125
35,jina,EBT,req,Gemini,accuracy,12.0,0.90625
36,jina,EBT,req,Gemini,precision,8.0,0.875
37,jina,EBT,req,Gemini,recall,10.5,0.8125
38,jina,EBT,req,Gemini,f1,12.0,0.90625
39,jina,EBT,req,Gemini,f2,11.0,0.84375
40,jina,EBT,req,GPT3.5,accuracy,5.0,0.875
41,jina,EBT,req,GPT3.5,precision,8.0,0.875
42,jina,EBT,req,GPT3.5,recall,5.0,0.875
43,jina,EBT,req,GPT3.5,f1,7.0,0.8125
44,jina,EBT,req,GPT3.5,f2,7.0,0.8125
45,jina,EBT,req,GPT-4o,accuracy,9.0,0.71875
46,jina,EBT,req,GPT-4o,precision,9.0,0.6875
47,jina,EBT,req,GPT-4o,recall,6.5,0.75
48,jina,EBT,req,GPT-4o,f1,10.0,0.78125
49,jina,EBT,req,GPT-4o,f2,10.0,0.78125
55,jina,EBT,code,Claude3,accuracy,5.0,0.625
56,jina,EBT,code,Claude3,precision,5.0,0.5625
57,jina,EBT,code,Claude3,recall,3.0,0.625
58,jina,EBT,code,Claude3,f1,5.0,0.5625
59,jina,EBT,code,Claude3,f2,5.0,0.5625
60,jina,EBT,code,Gemini,accuracy,3.0,0.3125
61,jina,EBT,code,Gemini,precision,0.0,0.03125
62,jina,EBT,code,Gemini,recall,4.0,0.75
63,jina,EBT,code,Gemini,f1,6.0,0.40625
64,jina,EBT,code,Gemini,f2,8.0,0.59375
65,jina,EBT,code,GPT3.5,accuracy,8.5,0.9375
66,jina,EBT,code,GPT3.5,precision,11.0,0.84375
67,jina,EBT,code,GPT3.5,recall,2.0,0.75
68,jina,EBT,code,GPT3.5,f1,13.0,0.9375
69,jina,EBT,code,GPT3.5,f2,10.0,0.78125
70,jina,EBT,code,GPT-4o,accuracy,0.0,0.0625
71,jina,EBT,code,GPT-4o,precision,0.0,0.0625
72,jina,EBT,code,GPT-4o,recall,1.5,0.375
73,jina,EBT,code,GPT-4o,f1,0.0,0.0625
74,jina,EBT,code,GPT-4o,f2,2.0,0.1875
80,jina,EBT,req(example),Claude3,accuracy,6.0,0.6875
81,jina,EBT,req(example),Claude3,precision,7.0,0.5
82,jina,EBT,req(example),Claude3,recall,4.0,0.875
83,jina,EBT,req(example),Claude3,f1,8.0,0.59375
84,jina,EBT,req(example),Claude3,f2,9.0,0.6875
85,jina,EBT,req(example),Gemini,accuracy,8.0,0.9375
86,jina,EBT,req(example),Gemini,precision,7.0,0.8125
87,jina,EBT,req(example),Gemini,recall,1.0,1.0
88,jina,EBT,req(example),Gemini,f1,9.0,0.9375
89,jina,EBT,req(example),Gemini,f2,10.0,1.0
90,jina,EBT,req(example),GPT3.5,accuracy,4.0,0.875
91,jina,EBT,req(example),GPT3.5,precision,7.0,0.8125
92,jina,EBT,req(example),GPT3.5,recall,2.0,0.75
93,jina,EBT,req(example),GPT3.5,f1,7.0,0.8125
94,jina,EBT,req(example),GPT3.5,f2,5.0,0.5625
95,jina,EBT,req(example),GPT-4o,accuracy,3.0,0.625
96,jina,EBT,req(example),GPT-4o,precision,3.0,0.625
97,jina,EBT,req(example),GPT-4o,recall,3.0,1.0
98,jina,EBT,req(example),GPT-4o,f1,3.0,0.625
99,jina,EBT,req(example),GPT-4o,f2,5.0,0.875
105,jina,EBT,code(example),Claude3,accuracy,3.0,0.625
106,jina,EBT,code(example),Claude3,precision,8.0,0.875
107,jina,EBT,code(example),Claude3,recall,0.0,0.5
