,label,pred,score
0,1,0,0.5739136934280396
1,0,0,0.5739136934280396
2,0,1,0.5958108305931091
3,0,0,0.5739136934280396
4,1,0,0.5739136934280396
5,1,0,0.5739136934280396
6,0,1,0.6096690893173218
7,0,1,0.670314610004425
8,0,1,0.5677595138549805
9,1,1,0.5958108305931091
10,0,1,0.6235877871513367
11,0,0,0.5739136934280396
12,1,0,0.5739136934280396
13,0,0,0.5739136934280396
14,0,0,0.5739136934280396
15,0,0,0.5739136934280396
16,1,0,0.5739136934280396
17,1,1,0.6235877871513367
18,1,1,0.6801681518554688
19,1,0,0.5739136934280396
20,0,0,0.5739136934280396
21,1,0,0.5739136934280396
22,1,1,0.6229535937309265
23,0,0,0.5739136934280396
24,0,0,0.5739136934280396
25,1,0,0.5739136934280396
26,0,1,0.6128709316253662
27,1,0,0.5739136934280396
28,1,0,0.5739136934280396
29,0,0,0.5739136934280396
30,1,0,0.5739136934280396
31,1,1,0.5958108305931091
