,label,pred,score
0,0,0,0.9705187678337097
1,1,0,0.7361381649971008
2,1,0,0.9042664766311646
3,1,1,0.9866633415222168
4,0,1,0.9342109560966492
5,1,1,0.8565146923065186
6,0,0,0.9963048696517944
7,0,0,0.9789389371871948
8,1,0,0.9654909372329712
9,0,0,0.9578432440757751
10,1,1,0.9798892140388489
11,0,0,0.9944325089454651
12,0,0,0.9920001029968262
13,1,1,0.8074923753738403
14,0,0,0.9948053956031799
15,1,0,0.9225559830665588
16,0,0,0.8722366690635681
17,1,1,0.9515612125396729
18,0,0,0.9325246214866638
19,0,0,0.9872391819953918
20,0,0,0.8583166003227234
21,1,1,0.9608443379402161
22,1,1,0.9557094573974609
23,0,0,0.9254886507987976
24,1,1,0.977767288684845
25,1,1,0.9522419571876526
26,1,1,0.9923189282417297
27,1,0,0.9293335676193237
28,1,0,0.712248682975769
29,0,0,0.9370824098587036
30,1,1,0.8721749782562256
31,1,1,0.9203423857688904
32,0,0,0.6501815319061279
33,1,1,0.9542157649993896
34,1,1,0.8516877293586731
35,0,0,0.9898579716682434
36,1,1,0.8353645205497742
37,0,0,0.9858700037002563
38,1,1,0.8090572357177734
39,1,1,0.7235161066055298
40,1,1,0.9466228485107422
41,1,1,0.9809070229530334
42,0,0,0.9305140376091003
43,0,0,0.9207789897918701
44,1,1,0.8518552780151367
45,1,1,0.9504382610321045
46,0,0,0.9625977277755737
47,0,0,0.9780451059341431
48,0,0,0.9597241282463074
49,0,0,0.8916429281234741
50,0,0,0.9840351939201355
51,0,0,0.9874514937400818
52,0,0,0.9809868931770325
53,0,0,0.9617626070976257
54,1,1,0.9165576696395874
55,0,0,0.9958904385566711
56,1,1,0.5174399614334106
57,1,1,0.8215436339378357
58,1,1,0.9931387305259705
59,0,0,0.9881283640861511
60,0,0,0.9916477203369141
61,0,0,0.8566825985908508
